STUDENT ID,GENDER,ECE 111,ECE 112,ECE 114,ECE 121,ECE 122,ECE 131,ECE 132,ECE 133,ECE 141,ECE 143,ECE 142,ECE 146,ECE 152,ECE 153,ECE 156,ECE 151,ECE 154,ECE 158,ECE 155,ECE 162,ECE 160,ECE 163,ECE 164,ECE 166,ECE 168,ECE 202,ECE 167
19-00886,F,2.75,3,2.5,2.25,2.75,1.25,2.25,2.25,2.75,1.25,2.5,1.25,2.5,1.75,5,2.5,2.25,2,2.5,2.5,1.75,2.5,2.75,2.2,2,1.25,2.25
19-00883,F,3,2.5,2,2,2.75,1.25,2.25,2.25,2.25,1.25,2.25,1.25,2.25,2,2.75,2.25,2.25,2,2.5,2.5,1.25,2.75,3,2.25,2.25,1.75,2.5
14-00164,M,2.75,2.25,2.5,2.25,2.75,1.65,3,2.5,3,2.25,2.5,2.5,2.3,3,2.5,3,2.75,3,2.5,3,2,2.5,2,2.5,1.75,2.25,1.75
15-00090,M,2.5,2.75,2.75,2.5,3,2.25,2.85,2.25,3,2.5,2.25,2,2.35,2.75,2.25,3,2.45,2.5,2.3,3,2.5,2.5,2,2.25,2.25,2.25,2.75
20-00092,M,2,1.5,1.5,1.5,2,1.5,2.55,1,1.25,2,1.5,2,1.75,2,3.05,2,1.5,2.5,1.5,1,1.9,1.5,1,1.75,2.05,1.85,2.2
19-00930,M,1.5,1.5,1.5,2.25,2,1.25,2.25,2,1.25,1.25,2.5,1,2.5,2,2.75,2.75,2,2.5,2,1.75,1.9,2.25,2.25,1.75,2.1,2,2.2
20-00097,M,1.75,1.5,1.5,1.5,2.25,1.75,2.55,1.25,1.75,2,1.75,2.25,2.25,2,3.1,3,2.25,2.5,2,1.75,1.9,2,2.5,2,2.1,1.8,2.2
20-00100,M,1.75,1.5,1.75,1.5,2.25,1.75,2.55,1.25,1.5,2,1.75,2,2,2,3.1,2.75,2.25,2.5,2,1.5,1.9,1.75,2,2,1.95,1.85,2.2
20-00101,F,1.75,1.5,1.75,1.5,2,1.75,2.55,1.25,1.25,2,1.5,1.75,1.5,2,3.05,2.75,2,2.5,1.75,1.25,1.9,1.25,1.5,1.75,2.05,1.85,2.2
09-1064,F,2.75,2.55,2.45,2.25,2.8,1.55,3,2.35,2.8,1.9,2.4,1.9,2.3,2.5,2.5,2.75,2.4,2.5,2.4,3,1.9,2.5,2.75,2.5,2.5,2,2.2
20-00104,M,1.75,1.75,2.25,1.25,2,1.75,2.55,1,1.25,2,1.25,1.75,1.75,1.75,3.05,2.25,2,2.5,2,1.25,1.9,1.5,2,1.75,2.05,1.85,2.2
20-00111,M,1.75,1.5,1.75,1.5,2.25,1.75,2.55,1.25,1.25,2,1.5,1.75,2.25,2,3.05,3,2,2.5,1.75,1.5,1.9,1.5,1.5,1.75,2.05,1.85,2.2
20-00112,M,1.5,1.5,1.75,1.5,2,1.75,2.55,1.25,1.25,2,1.75,1.75,1.75,2,3.1,2.75,2,2.5,2.25,1.25,1.9,1.75,1.75,2,1.95,1.85,2.2
20-00113,F,1.75,1.5,1.5,1.5,2,1.75,2.55,1,1,2,1.25,1.5,1.75,2,3.05,2.25,1.75,2.5,1.5,1.25,1.9,1.5,1.75,2,2.05,1.85,2.2
20-00114,M,1.75,1.75,1.75,1.5,2,1.75,2.55,1.5,1.5,2,1.75,2,2.5,2,3.1,2.75,2,2.5,1.75,1.25,1.9,1.75,2,2,1.95,1.85,2.2
20-00115,M,1.5,1.25,1.75,1.5,2,1.75,2.55,1.25,1.25,2,1.25,1.5,1.75,1.75,3.05,2,1.25,2.5,2,1.25,1.9,1.75,1.5,1.75,2.05,1.85,2.2
