ECE 111,ECE 112,ECE 114,ECE 121,ECE 122,ECE 131,ECE 132,ECE 133,ECE 141,ECE 143,ECE 142,ECE 146,ECE 152,ECE 153,ECE 156,ECE 151,ECE 154,ECE 158,ECE 155,ECE 162,ECE 160,ECE 163,ECE 164,ECE 166,ECE 168,ECE 202,ECE 167,MATAVE,GENENGAVE,ELECENGAVE,ELECSYSAVE,NATSCIAVE,BASENSCIAVE,ALCOUAVE,PROAVE,PERFORMANCE
2.75,3.0,2.0,1.95,1.75,2.35,2.0,2.0,2.25,2.75,2.25,1.25,2.0,2.25,2.5,3.0,2.75,2.25,3.0,2.5,2.0,2.0,3.0,1.25,1.75,1.5,2.25,2.55,2.105,2.375,2.583333333,1.85,2.116666667,2.125,2.267857143,0
3.0,2.75,2.25,2.5,3.0,1.5,2.25,2.35,3.0,1.75,2.5,1.5,2.25,2.25,3.0,2.5,2.25,2.0,2.5,2.75,1.75,2.5,2.75,1.95,2.25,1.75,1.75,2.6,2.335,2.166666667,2.416666667,2.75,2.033333333,2.1875,2.317857143,0
3.0,2.75,1.75,2.0,1.75,1.25,2.0,2.2,1.25,1.25,2.0,1.0,1.25,2.0,2.0,1.25,1.25,1.0,1.25,1.75,1.0,2.0,2.5,1.7,1.5,1.75,1.5,2.25,1.67,1.5,1.333333333,1.875,1.816666667,1.375,1.585714286,1
3.0,2.75,2.0,2.0,1.75,1.25,2.25,2.15,2.0,1.25,2.25,1.5,2.0,2.0,3.0,2.25,2.25,1.75,2.0,2.5,1.5,2.5,2.75,1.95,2.25,1.5,2.25,2.5,1.94,2.125,2.083333333,1.875,1.883333333,1.75,2.157142857,0
3.0,3.0,2.0,2.25,2.75,1.25,2.0,2.15,2.0,1.25,2.5,1.25,2.0,1.75,3.0,1.5,2.0,1.75,2.25,2.5,1.25,2.5,2.75,1.95,2.25,1.5,2.0,2.55,2.04,1.833333333,2.166666667,2.5,1.8,1.75,2.067857143,0
3.0,3.0,2.0,2.75,2.75,1.5,2.25,2.25,2.5,1.25,2.25,1.5,2.0,2.0,2.25,2.25,2.0,1.75,2.75,2.75,2.0,3.0,2.75,2.3,2.25,2.0,2.75,2.55,2.125,2.333333333,2.416666667,2.75,2.0,1.875,2.289285714,0
3.0,2.75,1.75,2.35,2.75,1.6,2.25,2.0,2.5,2.75,2.5,1.5,2.0,2.25,2.75,2.5,2.0,2.25,2.5,2.75,1.75,3.0,2.75,1.85,2.25,1.5,2.5,2.45,2.295,2.333333333,2.5,2.55,1.95,2.3125,2.292857143,0
2.5,2.5,2.5,1.85,2.0,1.85,1.25,2.0,1.75,2.25,2.25,1.25,3.0,2.75,2.0,2.5,2.0,1.75,3.0,3.0,1.5,1.75,1.25,1.5,1.75,1.0,2.0,2.35,1.845,2.083333333,2.583333333,1.925,1.7,1.875,2.053571429,0
2.55,2.5,2.5,1.85,2.25,1.85,1.25,1.75,1.75,2.5,2.5,1.25,2.75,2.0,1.5,3.0,2.75,1.25,3.0,3.0,1.5,1.5,1.25,1.25,1.75,1.0,1.75,2.31,1.845,2.083333333,2.416666667,2.05,1.616666667,2.0,1.964285714,0
2.1,2.0,2.0,2.05,1.5,1.6,1.5,1.5,1.5,1.75,1.75,1.0,2.0,1.25,2.25,2.0,1.25,1.0,2.25,3.0,1.25,1.25,1.25,1.5,1.75,1.0,1.75,1.87,1.64,1.458333333,2.083333333,1.775,1.533333333,1.5,1.642857143,1
