ECE 111,ECE 112,ECE 114,ECE 121,ECE 122,ECE 131,ECE 132,ECE 133,ECE 141,ECE 143,ECE 142,ECE 146,ECE 152,ECE 153,ECE 156,ECE 151,ECE 154,ECE 158,ECE 155,ECE 162,ECE 160,ECE 163,ECE 164,ECE 166,ECE 168,ECE 202,ECE 167,SUB1,SUB2,SUB3,SUB4,PERFORMANCE
2.75,3,2,1.95,1.75,2.35,2,2,2.25,2.75,2.25,1.25,2,2.25,2.5,3,2.75,2.25,3,2.5,2,2,3,1.25,1.75,1.5,2.25,0,0,0,0,0
3,2.75,2.25,2.5,3,1.5,2.25,2.35,3,1.75,2.5,1.5,2.25,2.25,3,2.5,2.25,2,2.5,2.75,1.75,2.5,2.75,1.95,2.25,1.75,1.75,0,0,0,0,0
3,2.75,1.75,2,1.75,1.25,2,2.2,1.25,1.25,2,1,1.25,2,2,1.25,1.25,1,1.25,1.75,1,2,2.5,1.7,1.5,1.75,1.5,1,1,1,1,1
3,2.75,2,2,1.75,1.25,2.25,2.15,2,1.25,2.25,1.5,2,2,3,2.25,2.25,1.75,2,2.5,1.5,2.5,2.75,1.95,2.25,1.5,2.25,0,1,0,1,0
3,3,2,2.25,2.75,1.25,2,2.15,2,1.25,2.5,1.25,2,1.75,3,1.5,2,1.75,2.25,2.5,1.25,2.5,2.75,1.95,2.25,1.5,2,0,1,0,1,0
3,3,2,2.75,2.75,1.5,2.25,2.25,2.5,1.25,2.25,1.5,2,2,2.25,2.25,2,1.75,2.75,2.75,2,3,2.75,2.3,2.25,2,2.75,0,0,0,0,0
3,2.75,1.75,2.35,2.75,1.6,2.25,2,2.5,2.75,2.5,1.5,2,2.25,2.75,2.5,2,2.25,2.5,2.75,1.75,3,2.75,1.85,2.25,1.5,2.5,0,1,0,0,0
2.5,2.5,2.5,1.85,2,1.85,1.25,2,1.75,2.25,2.25,1.25,3,2.75,2,2.5,2,1.75,3,3,1.5,1.75,1.25,1.5,1.75,1,2,0,1,0,1,0
2.55,2.5,2.5,1.85,2.25,1.85,1.25,1.75,1.75,2.5,2.5,1.25,2.75,2,1.5,3,2.75,1.25,3,3,1.5,1.5,1.25,1.25,1.75,1,1.75,0,0,1,1,0
2.1,2,2,2.05,1.5,1.6,1.5,1.5,1.5,1.75,1.75,1,2,1.25,2.25,2,1.25,1,2.25,3,1.25,1.25,1.25,1.5,1.75,1,1.75,1,1,1,1,1
2.5,2.5,3,2,3,2.35,1.25,2,3,2.75,2.5,1.75,3,3,2.25,2.75,3,1.75,3,3,1.5,1.75,1.5,1.5,1.75,1,2.25,0,0,0,0,0
2.45,2.5,2.75,1.95,2.25,1.75,2,2,2.5,2.25,2.5,1.25,2.75,1.75,1.75,2.5,1.5,1.75,3,3,1.5,1.75,1.25,1.5,1.75,1,2,0,1,0,0,0
3,2.75,2.75,1.75,2.5,2.25,2.8,2.25,2.75,3,1.75,1.75,2.75,2.75,2.25,3,2.45,2.65,2.45,3,2.5,2.5,2,2.25,2.25,2.25,2.75,0,1,0,1,0
2.75,3,2.75,2,2.75,2,2.5,2.25,3,2.25,2.25,1.75,3,5,2.25,3,2.6,2.9,2.55,3,3,2.5,2,2,2,2,1.75,0,1,1,1,0
2.75,2.5,2.75,1.75,2.75,3,2.85,2.75,2.75,2.75,1.75,2.25,2.75,3,2.25,3,2.8,3,2.35,2.5,2.25,2.75,2,2.5,2.5,2.25,2.5,0,1,0,0,0
3,2.75,2.5,2.25,2.75,2,2.95,2.5,2.5,2.75,2,2.25,2.8,2.85,2.5,3,3,3,2.5,2.5,2.25,2.25,1.75,2.25,2.25,2.25,2,0,0,0,0,0
2.5,2.75,2.75,2.5,3,2.25,2.8,2.25,3,2.5,2.25,2,2.7,2.75,2.25,3,2.45,2.8,2.45,3,2.5,2.5,2,2.25,2.25,2.25,2.75,0,0,1,0,0
2.75,3,2.75,2,2.5,2,3.2,2.25,2.75,2.25,2.75,2.25,2.75,2.75,2.5,3,2.25,2.5,5,2.75,2.75,2.25,2.75,2.25,2.25,1.25,2.25,1,1,1,1,1
2.5,2.5,2.75,2.25,2.75,2.5,2.75,2.25,2.25,5,2,2,3.15,2.6,2.25,3,2.5,3,2.5,2.5,2,2.5,3,2,2.25,2.25,2.5,0,1,0,1,0
2.75,3,2.5,2,2.75,2.75,3,3,2.75,3,1.75,2.25,2.25,2.75,3,2.75,2,3,2.5,2.5,2.5,2.5,3,2.25,2.25,2,1.75,1,1,1,1,1
3,2.8,2.5,1.95,2.35,2.25,2,2.5,1.95,3,2.25,2.5,3,3,1.75,3,2.45,3,2.75,2.75,3,2.75,2.5,2,2,1.5,2.75,0,0,0,0,0
