id,age,gender,algebra,trigo,advalgebra,anageo,diffcal,stats,intcal,advmat,numeric,vector,elxdevice,elxcirc,signals,princo,lcst,digicom,trans,micro,broadcast,control,circ1,elemag,circ2,passed
0,21,F,2.75,3,2.5,2.5,2,3,1.5,1.5,2.75,3,1.25,2.5,1.5,2.5,3,1.5,2,1.5,1.25,2.25,2.5,2.25,2.25,1
1,20,F,1.25,2.25,1.75,1.5,1.5,2,1,1.25,1.75,2.5,1,1,1.25,1.5,3,3,1.75,3,2,2.75,2.25,2,1,0
2,21,M,1.5,3,2,2.25,2.25,2,2,2.5,2.75,1.25,2,2.25,1.5,2.5,1.75,1,2.75,1.25,2.75,1.25,2.75,1,2.5,0
3,23,M,2.5,2.5,1.75,2.5,1,3,1.5,2.75,1,1.5,2.25,3,1.75,1,2.25,1,2.25,1.5,2,2,2.25,2.75,1.75,1
4,24,M,3,3,3,1.5,1.25,1.5,1.25,2.5,2,1,1.75,2.75,1.75,2.5,1.75,1.75,3,1,1.5,2.25,2,2.25,3,0
5,23,M,3,1,1.25,1.25,1,2,1.5,2.25,2.75,2.5,2.75,2.75,2.75,2.5,1.75,1.5,1,1,3,1.5,1.25,2.25,1.75,0
6,23,M,1,1,2.75,2.25,1,2.75,2.25,1.25,1,2.25,1.75,2.25,1.5,2,2.25,1,1.25,1.5,2.5,1,1,2,1.5,0
7,24,M,2.25,2.5,2,1.5,2.5,2.5,2,1.25,2,2.75,2.5,2.5,2.5,2.5,1.25,1.5,1,2.25,1,2,2.75,2.25,2.75,0
8,18,F,2.75,3,1,1.5,2.75,1.25,2,2.25,1.5,2.25,2.5,1.5,2.25,2.25,1.5,3,1.25,1.75,2.25,3,2.5,3,1.5,0
9,24,F,2.75,1,1,3,2,3,1.25,3,2.75,2.5,2.75,1.25,2.75,2,1.75,2.75,1,1.75,1.75,2.5,2.75,2.75,1.75,0
10,22,F,2,2,1,2.75,1,2.25,1.5,1.25,1.5,2.25,1.25,2.25,1.75,1.25,2,2.25,3,2.5,1.5,1,1.75,2.75,1.75,0
11,19,F,2.5,3,1,2.5,1,1.5,2.75,1.25,2.25,2.5,2.25,1,1.75,1.5,1,3,2.25,3,1.75,2.5,1.5,2.5,1.75,1
12,22,M,1.75,2.75,1.25,2,3,1,3,1.5,2.25,1,1.25,1.5,1.75,1.25,2.75,1.5,2.5,1,1.5,3,1.75,2.25,1.25,1
13,25,M,1.75,1.75,1.75,1.5,2.5,2.5,2,1,1.5,1.75,2.75,1.25,1.25,2.5,1.25,1.25,1.75,1.25,1,1.25,1.5,2.75,1.5,1
14,25,F,1.5,1.25,3,1,2.75,1.75,1,1.25,2.75,2.5,1,2.5,1.5,1.75,2.25,1.75,1,1.5,1.5,1.25,2.75,2.5,3,0
15,24,F,1.75,1.75,1.75,1,2,1.5,1.25,1,1.75,2.25,2.75,2,1.25,1.5,1.5,2.25,1.25,1.75,1,3,1,2.75,1.25,1
